trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2019-01-01 04:58:03,3565996340207976,fraud_Dooley-Thompson,misc_net,5.38,Warren,Daniels,M,23656 Harris Gardens Suite 698,El Paso,TX,79906,31.8092,-106.4247,749635,Market researcher,1973-01-21,aea7f70b72f4f23efd4b196fb229cbc3,1325393883,32.370748,-106.759414,0
2019-01-01 05:17:25,6011438889172900,"fraud_Yost, Block and Koepp",misc_pos,7.38,Allison,Allen,F,40624 Rebecca Spurs,De Witt,AR,72042,34.2853,-91.3336,5161,Electrical engineer,1993-04-08,9f9115024d7dc4b66abd4cac86620d36,1325395045,33.620816,-91.970425,0
2019-01-01 05:39:36,4003771737807706,"fraud_Lind, Huel and McClure",gas_transport,53.86,Danielle,Hayden,F,03368 Michelle Trail,Gregory,AR,72059,35.1791,-91.2594,37,"Lecturer, further education",1958-01-01,cda77290e5c689d227eaab752e253674,1325396376,34.499078999999995,-91.906871,0
2019-01-01 05:56:54,6011148190095209,"fraud_Adams, Kovacek and Kuhlman",grocery_net,74.85,Terri,Bailey,F,508 Erin Mount,Daly City,CA,94015,37.6787,-122.478,107941,"Buyer, industrial",1991-10-04,5674d7c6891a3d5e9a9fa208730057a4,1325397414,38.544098,-123.311607,0
2019-01-01 06:17:31,561942763351,"fraud_Greenholt, Jacobi and Gleason",gas_transport,69.75,Melissa,Brown,F,330 Montoya Ramp,Washington,DC,20036,38.9087,-77.0414,601723,Prison officer,1986-03-14,ec33047979afefd685475b8628da70b5,1325398651,38.919299,-77.37165,0
2019-01-01 06:34:21,639023984367,fraud_Huels-Nolan,gas_transport,53.33,Destiny,Lowe,F,79472 Stevens Trace Apt. 120,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,1991-06-05,10ec7fc2395a5292495c481d9c99e51a,1325399661,43.811536,-75.890407,0
2019-01-01 06:53:54,501828204849,"fraud_Kihn, Abernathy and Douglas",shopping_net,7.12,Sandra,Davies,F,31954 Eugene Lane Suite 572,Dexter,KS,67038,37.1641,-96.6917,602,"Buyer, industrial",1958-10-26,14e63b67bbaaca02c9e9483c5f277ccb,1325400834,37.548058000000005,-95.772655,0
2019-01-01 07:11:55,377026671291680,fraud_Conroy-Cruickshank,gas_transport,71.06,Jackie,Davis,F,1898 Parker Fork Apt. 057,Redford,MO,63665,37.3272,-91.0243,241,Investment analyst,1974-10-27,a29812ac63e9b065046efd387a6ec8b5,1325401915,36.447073,-91.941927,0
2019-01-01 07:28:02,30029052116970,fraud_Emmerich-Luettgen,grocery_net,63.31,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,0685dd14ed050768f49345649b9773fd,1325402882,42.035316,-80.08225999999999,0
2019-01-01 07:53:22,4220345354880,fraud_Mayert Group,shopping_pos,117.96,Patrick,Torres,M,27386 Snyder Station,Oxford,MI,48371,42.8223,-83.2829,24840,Agricultural consultant,1960-01-20,2c7d913ee40b827e6a25e668399ad3f4,1325404402,43.605107,-82.946703,0
2019-01-01 08:09:01,3536918668124647,"fraud_Greenholt, Jacobi and Gleason",gas_transport,49.47,Michelle,Juarez,F,44864 Melton Vista Suite 310,San Jose,CA,95148,37.3304,-121.7913,973849,Science writer,1955-06-12,3b0db891ea9d7d317dd5d7dde4ff3f15,1325405341,37.202165,-122.238415,0
2019-01-01 08:29:50,3523898249167098,fraud_Koelpin and Sons,misc_net,283.55,Joshua,Carpenter,M,04975 Allison Shoal,Bronx,NY,10463,40.8798,-73.9067,1382480,"Therapist, drama",1990-11-09,d2f60675d5d014479f40a583988f59df,1325406590,41.368933,-74.47381800000001,0
2019-01-01 08:49:29,630484879808,fraud_McGlynn-Jaskolski,misc_pos,36.62,Ian,Patton,M,8088 Sherman Radial Suite 689,Helm,CA,93627,36.4992,-120.0936,123,Early years teacher,1973-02-07,6458bd33847734ea1c5075edce6ef805,1325407769,35.590437,-120.030031,0
2019-01-01 09:07:42,4482427013979020,fraud_Stracke-Lemke,grocery_pos,131.82,Leslie,Ford,F,4938 Hatfield Course,Henderson,WV,25106,38.8265,-82.1364,642,Building services engineer,1946-08-30,42078e4b78783ad51a37ee52feee9861,1325408862,38.824198,-82.12289799999999,0
2019-01-01 09:26:41,6544734391390261,fraud_Mraz-Herzog,gas_transport,74.41,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,71cef7b1c868d52c8897c982abd256c8,1325410001,42.169507,-86.524908,0
2019-01-01 09:41:55,2450829271795901,fraud_McDermott-Weimann,grocery_pos,64.11,Timothy,Kirby,M,7309 Sophia Causeway Suite 702,Sauk Rapids,MN,56379,45.604,-94.1591,16163,Hydrographic surveyor,1987-02-22,dc27c353ec1e32d1752eb5e4a6e49c37,1325410915,44.913786,-93.694875,0
2019-01-01 09:57:17,4756039869079882102,fraud_Dickinson-Rempel,misc_pos,2.51,Francisco,Hernandez,M,980 Smith Gardens,Gainesville,TX,76240,33.6547,-97.1583,26120,"Engineer, manufacturing",1954-01-06,b871ec395a68ab04ab57a57777f88e95,1325411837,34.45132,-96.333337,0
2019-01-01 10:12:53,4070511711385545,fraud_DuBuque LLC,grocery_pos,155.06,Stephanie,Hopkins,F,44089 Carrie Crossing Suite 954,Falls City,TX,78113,28.9814,-98.0156,2435,"Engineer, mining",1967-04-09,be16e504f49ada1319f390ed20a65bc9,1325412773,29.625254,-97.236751,0
2019-01-01 10:30:25,503848303379,"fraud_Johnston, Nikolaus and Maggio",grocery_net,66.45,Gregory,Wallace,M,27203 Darrell Landing,Saint James City,FL,33956,26.529,-82.0916,3776,Sport and exercise psychologist,1976-09-12,d177a4447ebd0b6e2f0d143ffd38656a,1325413825,26.859744,-81.54933199999999,0
2019-01-01 10:50:54,2274911989136158,fraud_Cummerata-Jones,gas_transport,72.28,Robert,Velazquez,M,3136 Silva Stream,Parker,CO,80138,39.5102,-104.7216,84861,Materials engineer,1932-03-10,76ee8e0c687d52059a9bf7c0c9370abc,1325415054,40.448668,-104.63093,0
2019-01-01 11:06:24,4584931703207308232,fraud_Gislason Group,misc_pos,6.7,Amanda,Gomez,F,8152 Brittany Centers,Dallas,TX,75218,32.8463,-96.6972,1263321,"Designer, ceramics/pottery",1975-04-16,679a6efcb617572e972d526cc17d9fdd,1325415984,32.935745000000004,-95.728118,0
2019-01-01 11:23:15,2254917871818484,fraud_Prohaska-Murray,gas_transport,77.21,Margaret,Gibson,F,382 Williams Stream Suite 197,Scotland,MD,20687,38.0828,-76.3477,313,Insurance underwriter,1976-03-26,b9d8c342e3221bdf926a79833d16bd4f,1325416995,38.262298,-75.435748,0
2019-01-01 11:43:53,347612609554823,fraud_Murray Ltd,grocery_net,39.79,Robert,James,M,18316 Cannon Place,Newport,ME,4953,44.8393,-69.2675,3228,Lexicographer,1995-12-28,d1ca2bda3c94eaf8df34a5fc0d531306,1325418233,43.855651,-70.078073,0
2019-01-01 12:02:22,4904681492230012,"fraud_Kunze, Larkin and Mayert",travel,7.87,Lisa,Lowe,F,574 David Locks Suite 207,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,1990-10-19,6b7800085726f2973adbab64e6e20ea1,1325419342,42.339536,-74.08041700000001,0
2019-01-01 12:26:57,30487648872433,fraud_Bednar Inc,travel,5.09,Stephanie,Crane,F,144 Martinez Curve,Central,IN,47110,38.097,-86.1723,350,Counsellor,1955-01-05,fe537bb2ec779ae3a337d50a3c7a7dfd,1325420817,37.653705,-86.315351,0
2019-01-01 12:41:17,5559857416065248,"fraud_Berge, Kautzer and Harris",personal_care,88.7,Jack,Hill,M,5916 Susan Bridge Apt. 939,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,1945-12-21,1f4c10dd875868477f2cb5822795b5b8,1325421677,41.586814,-123.16098,0
2019-01-01 12:52:19,4328928491302401,fraud_Kuhic LLC,shopping_net,266.91,Margaret,Ray,F,927 Cummings Manor Suite 318,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,1981-05-06,4a57f2c456f6b0ed222fd1f545689c83,1325422339,42.866361,-87.436966,0
2019-01-01 13:06:14,3577794103155425,"fraud_Reichert, Huels and Hoppe",shopping_net,6.23,Mary,Humphrey,F,9853 Flynn Hollow Apt. 602,Reynolds,ND,58275,47.7068,-97.2092,733,Visual merchandiser,1994-11-12,1071a861baeb0b8912c58a03c82bfdab,1325423174,47.732838,-96.663555,0
2019-01-01 13:17:57,213180742685905,fraud_Jakubowski Inc,home,17.6,Kayla,Sutton,F,010 Weaver Land,Carlotta,CA,95528,40.507,-123.9743,1139,"Therapist, occupational",1951-01-15,59f9f4574e29c78e556ad74d941a1df1,1325423877,39.704205,-124.787554,0
2019-01-01 13:28:46,630424987505,fraud_Jewess LLC,shopping_pos,5.27,Jennifer,Black,F,2870 Bean Terrace Apt. 756,Thomas,WV,26292,39.1505,-79.503,836,Forensic psychologist,1981-08-29,246122605f8a5d487ac71512e5304ded,1325424526,38.57756,-79.70790600000001,0
2019-01-01 13:41:25,4642894980163,"fraud_Schneider, Hayes and Nikolaus",food_dining,6.98,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,1990-07-13,2c8420edb8f6b32a324ab36729f35623,1325425285,40.824327,-95.067308,0
2019-01-01 13:52:01,3573030041201292,"fraud_Weimann, Kuhic and Beahan",shopping_pos,13.02,Joanne,Williams,F,3638 Marsh Union,Altonah,UT,84002,40.3207,-110.436,302,"Sales professional, IT",1990-01-17,8ca5b2d05d133de4036b5588ef86bc43,1325425921,39.832089,-110.077562,0
2019-01-01 14:06:26,3589255887819806,fraud_Dare-Marvin,entertainment,91.81,David,Miller,M,622 Bradley Knoll Apt. 758,Hancock,MD,21750,39.6991,-78.1762,3766,Press photographer,1984-02-14,53b55adfbf5b3a6589a302ef71f43dda,1325426786,40.692073,-79.075941,0
2019-01-01 14:16:29,3590736522064285,"fraud_Klocko, Runolfsdottir and Breitenberg",health_fitness,14.89,Kimberly,Gonzalez,F,72966 Shannon Pass Apt. 391,Bauxite,AR,72011,34.5091,-92.4828,4074,"Scientist, audiological",1975-12-20,3d138d54dde41cb372da672b2a3476d4,1325427389,35.262174,-92.711158,0
2019-01-01 14:31:16,4646845581490336108,fraud_Erdman-Ebert,personal_care,36.37,Julia,Bell,F,576 House Crossroad,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1990-06-25,a01044e85bca58e6e6c5a8fdabe0c844,1325428276,40.791799,-72.683255,0
2019-01-01 14:43:17,639095706599,"fraud_Turcotte, Batz and Buckridge",health_fitness,24.04,Kyle,Wilkinson,M,93970 Trujillo Causeway,Curlew,IA,50527,42.9633,-94.7975,223,Estate manager/land agent,1939-04-14,dd7b335baef2c0d34b9793f47cb17432,1325428997,43.377055,-94.593232,0
2019-01-01 14:55:10,340951438290556,"fraud_Quitzon, Green and Bashirian",shopping_pos,26.22,Maria,Garcia,F,865 Thomas Village,Orangeburg,NY,10962,41.0442,-73.9609,5950,Records manager,1971-07-02,85909f2a27e75e175b8bd8c81b028599,1325429710,41.952516,-74.516475,0
2019-01-01 15:03:02,6506982560413523,fraud_Daugherty LLC,kids_pets,26.85,Alice,Kemp,F,057 Martinez Radial,Texarkana,AR,71854,33.431,-93.8765,36438,Surgeon,1985-04-15,6142d2928c1e7c35d6c7cb9131dd586d,1325430182,34.215868,-93.727089,0
2019-01-01 15:14:01,4797297220948468262,fraud_Dickinson-Rempel,misc_pos,8.96,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228,Counsellor,1991-03-13,e56af69ecba86599d02253234169655e,1325430841,38.880289000000005,-85.972753,0
2019-01-01 15:23:39,4423489490781412,"fraud_Welch, Rath and Koepp",entertainment,20.84,Christopher,Ortega,M,5045 Emily Wall,Princeton,IA,52768,41.6858,-90.3706,1426,Agricultural consultant,1957-03-06,ab7208f7000df5108e7ca607c17c2d3d,1325431419,42.533914,-90.996781,0
2019-01-01 15:35:26,565399283797,fraud_Goldner-Lemke,entertainment,79.04,Anthony,Allen,M,6993 Carr Lodge Apt. 311,Jordan Valley,OR,97910,42.8801,-117.281,641,Economist,1993-11-24,6381ab88d125b50700d0cd834dbf2af1,1325432126,43.628308,-117.472283,0
2019-01-01 15:43:58,180042946491150,"fraud_Runte, Green and Emard",health_fitness,125.91,Charles,Robles,M,3337 Lisa Divide,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",1989-02-28,28ffadbf75d2c84ed5384f52feb949d2,1325432638,28.645902000000003,-83.571125,0
2019-01-01 15:53:59,4449530933957323,fraud_Brown Inc,kids_pets,63.1,Felicia,Mckee,F,84079 Thomas Burgs,Tomales,CA,94971,38.2427,-122.9145,337,Occupational psychologist,1954-07-05,d8ee72f65e807fe60823d8b0e323e496,1325433239,39.221409,-123.0356,0
2019-01-01 16:01:56,2305336922781618,"fraud_Schroeder, Hauck and Treutel",entertainment,67.13,Jeffrey,Rice,M,21447 Powell Circle,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,1961-02-14,148c2686e243375bede1b20600a0da51,1325433716,41.570551,-93.220426,0
2019-01-01 16:14:08,3596217206093829,fraud_Lynch Ltd,shopping_pos,21.99,Sara,Ramirez,F,23843 Scott Island,Birmingham,IA,52535,40.8626,-91.9534,888,Camera operator,1988-03-25,67241a0dd63eb8132ce837c595e41f81,1325434448,40.852553,-91.907092,0
2019-01-01 16:24:46,4681601008538160,fraud_Stark-Koss,home,29.55,Tammy,Davis,F,77663 Colleen Freeway,Moundsville,WV,26041,39.9148,-80.73100000000001,16183,Physiotherapist,1977-08-12,f3543d7c6ede37fe5e441cfb986a2a23,1325435086,39.816418,-79.951722,0
2019-01-01 16:34:27,5152054598359927,fraud_Carroll PLC,health_fitness,28.19,Jim,Johnson,M,868 Brady Mill Apt. 837,Gretna,LA,70056,29.8872,-90.0331,55581,Biomedical scientist,1972-09-12,6da44e01eb880f7b0d692e05ef393a16,1325435667,29.529684000000003,-89.77256899999999,0
2019-01-01 16:45:32,371226440126102,"fraud_Schiller, Blanda and Johnson",home,10.22,Stacy,Lambert,F,85430 Julie Trafficway Suite 792,Mulberry Grove,IL,62262,38.9311,-89.2463,1810,Race relations officer,1974-12-24,0d8d67a997dd659a3c8b7178db86267c,1325436332,38.28428,-88.991982,0
2019-01-01 16:59:03,375974680629816,"fraud_Wiza, Schaden and Stark",misc_pos,2.18,Roberta,Mccarthy,F,94431 Matthew Mall Suite 296,Plymouth,CT,6782,41.6611,-73.0449,2376,Herpetologist,1973-04-06,69be620089b57196f6ef5864866a0541,1325437143,41.708792,-73.76770400000001,0
2019-01-01 17:08:49,2706977570537524,fraud_Harris Group,food_dining,62.19,David,Serrano,M,4739 Martin Common,Zaleski,OH,45698,39.283,-82.3977,341,Accounting technician,1978-12-18,ca58398faecfcf87de32eebc83ab4fd3,1325437729,39.997006,-81.723049,0
2019-01-01 17:23:24,344709867813900,"fraud_Bradtke, Torp and Bahringer",personal_care,16.13,Joanna,Hudson,F,2924 Bobby Trafficway,Sebring,FL,33872,27.4703,-81.4872,50835,Environmental consultant,1986-01-30,89a7a11c175c1ad2511d043d4727f6f5,1325438604,27.905379,-80.631312,0
2019-01-01 17:40:07,3541160328600277,fraud_Reilly LLC,home,300.25,Jason,Singh,M,4720 Anna Ways,Murrayville,IL,62668,39.5723,-90.2379,1512,Commercial/residential surveyor,2003-05-07,9f4df586e5329c0432a374935c8e2654,1325439607,39.804862,-90.606418,0
2019-01-01 17:51:08,4358137750029944984,fraud_Waters-Cruickshank,health_fitness,64.24,Dawn,Stephens,F,91542 Marissa Shores Apt. 053,Oran,IA,50664,42.7012,-92.0762,53,Sports administrator,1972-10-05,7e38c9e56bfddf56a0f98268d35126d0,1325440268,41.888513,-92.120197,0
2019-01-01 18:06:18,6011504998544485,fraud_Pollich LLC,home,74.94,Ashley,Whitney,F,4038 Smith Avenue,Jones,AL,36749,32.5104,-86.8138,1089,Materials engineer,1971-11-02,bcf9d7a247182df8189370f65937c18a,1325441178,31.944956,-85.924006,0
2019-01-01 18:19:25,4266200684857219,"fraud_Crist, Jakubowski and Littel",home,107.64,Joshua,Bryant,M,5452 Patricia Inlet Apt. 280,Nelson,NE,68961,40.201,-98.0684,732,Television/film/video producer,1956-12-13,0134e6a797bcf8c07b28647ad33fd53a,1325441965,39.879013,-97.392439,0
2019-01-01 18:30:44,372509258176510,fraud_Schroeder Group,health_fitness,89.9,Kristen,Hanson,F,26544 Andrea Glen,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,1985-06-18,05b7ae5684352d4e4507343b3de97350,1325442644,42.034591,-83.013311,0
2019-01-01 18:46:20,3533742182628021,fraud_Fahey Inc,kids_pets,29.8,Robert,Haynes,M,857 Aaron Circles Suite 398,Johns Island,SC,29455,32.8357,-79.8217,20478,Materials engineer,1997-06-04,dcc2fe31a986504528a6d6516b2550b4,1325443580,31.86634,-78.977063,0
2019-01-01 18:57:08,4430881574719618,fraud_Ullrich Ltd,kids_pets,77.11,Alicia,Morales,F,4456 Dunn Roads,Meredith,CO,81642,39.3199,-106.6596,61,Public relations account executive,1939-11-04,7f18e190f827c0b3ca0bab22b14426c8,1325444228,39.872607,-106.914132,0
2019-01-01 19:07:22,581686439828,fraud_McKenzie-Huels,food_dining,1.88,Larry,House,M,911 Sabrina Trafficway,Cochranton,PA,16314,41.5205,-80.0573,5507,Retail merchandiser,1973-07-28,84419b38e031673139124f5a8824eea9,1325444842,41.228411,-80.882581,0
2019-01-01 19:17:45,3596217206093829,fraud_Gleason and Sons,kids_pets,11.59,Sara,Ramirez,F,23843 Scott Island,Birmingham,IA,52535,40.8626,-91.9534,888,Camera operator,1988-03-25,86b1d86c983f3df80cf6ff4e93e838e7,1325445465,41.350728,-92.714426,0
2019-01-01 19:30:34,4364010865167176,fraud_Mosciski Group,travel,6.72,Gary,Martinez,M,03512 Jackson Ports,Reno,NV,89512,39.5483,-119.7957,276896,Immunologist,1997-03-12,7df005c07d00d183433e252089570cc9,1325446234,39.487042,-119.73335,0
2019-01-01 19:43:31,4500002361389,fraud_Homenick LLC,personal_care,100.65,Joseph,Nixon,M,86882 Desiree Camp Suite 047,Tyaskin,MD,21865,38.2833,-75.8465,470,Music tutor,1965-04-07,4816d3628a9f22c4c8f3322dfaa90577,1325447011,37.968232,-76.209972,0
2019-01-01 19:55:27,4745996322265,fraud_Schmitt Ltd,misc_net,69.29,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,"Psychologist, forensic",1998-10-07,279ec131957edd4ae09272cae94aa62d,1325447727,41.345556,-86.975814,0
2019-01-01 20:05:05,2720433095629877,fraud_Volkman-Predovic,shopping_net,7.35,Mark,Wood,M,854 Walker Dale Suite 488,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",1997-08-22,6046e89010a18807a5a0fffd7085c292,1325448305,43.509922,-69.982611,0
2019-01-01 20:22:22,3567697931646329,"fraud_Turcotte, Batz and Buckridge",health_fitness,46.25,John,Stevens,M,428 Morgan River,Hudson,NY,12534,42.247,-73.7552,17867,Travel agency manager,1998-07-29,e0059d3115a624aca3140700f622bdb8,1325449342,42.383424,-72.855621,0
2019-01-01 20:38:41,4890424426862856940,"fraud_Schuppe, Nolan and Hoeger",shopping_pos,6.28,Jeremy,Whitney,M,0371 Aimee Neck Suite 856,Sacramento,CA,95827,38.5662,-121.3286,757530,Magazine features editor,1979-04-30,80a5528e802180a8dc28d610962e4675,1325450321,38.613811,-121.413926,0
2019-01-01 20:47:42,30044330818990,fraud_Donnelly LLC,entertainment,49.0,Allison,Ayala,F,87665 Karen Mill Apt. 586,Fort Myers,FL,33967,26.4722,-81.8122,224256,Paramedic,1985-08-29,8a014687dd2b71799982b3d7f1e3cfca,1325450862,26.494587,-81.728412,0
2019-01-01 21:01:23,4277232699798846,fraud_Kassulke Inc,entertainment,7.97,Jennifer,Vance,F,13299 Patrick Terrace,Rhame,ND,58651,46.1664,-103.7079,475,Illustrator,1955-11-10,704c1bc84361453e6c631476673e7c85,1325451683,46.561576,-102.745121,0
2019-01-01 21:12:20,4509922033272157,fraud_Friesen Inc,shopping_pos,12.23,Monica,West,F,22084 Smith Roads Suite 776,Hurley,SD,57036,43.2893,-97.1904,811,Neurosurgeon,1972-03-28,d1066fca52ff411e2e74122f3ba5daa6,1325452340,43.687982,-96.408788,0
2019-01-01 21:23:05,4809701904914,fraud_Crona and Sons,kids_pets,19.6,Sabrina,Nolan,F,312 Eric Expressway Apt. 014,Phenix City,AL,36869,32.4204,-85.0796,59744,Chemical engineer,1984-02-07,c79e94f918604141348966e350f24e8d,1325452985,32.614841,-84.187913,0
2019-01-01 21:34:22,639095706599,fraud_Beier and Sons,home,24.46,Kyle,Wilkinson,M,93970 Trujillo Causeway,Curlew,IA,50527,42.9633,-94.7975,223,Estate manager/land agent,1939-04-14,11ddd9c81b2333652d380cb64ebd18d3,1325453662,43.091362,-95.095245,0
2019-01-01 21:43:47,4783226709001,fraud_Morissette LLC,entertainment,39.73,Jessica,Garcia,F,13108 Jennifer Passage,Mc Cracken,KS,67556,38.5957,-99.554,320,Film/video editor,1961-04-22,78871885d1151dcb3ea703646a4daf28,1325454227,38.652586,-99.74371,0
2019-01-01 21:54:54,4653879239169997,"fraud_Zemlak, Tillman and Cremin",personal_care,2.09,Monica,Tucker,F,302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",1999-06-06,f35bebd81d62a670e0f2f99b3d54b504,1325454894,37.49371,-86.99063199999999,0
2019-01-01 22:09:27,36722699017270,fraud_Prosacco LLC,personal_care,40.16,Jessica,Perez,F,8172 Robertson Parkways Suite 072,Superior,AZ,85173,33.2887,-111.0985,2872,Petroleum engineer,1987-10-28,f17d72651e46fdc5a5056c12febca8a8,1325455767,33.762252000000004,-110.740278,0
2019-01-01 22:22:21,4764202053279782,fraud_Schiller Ltd,personal_care,2.51,Derek,Jones,M,198 Candace Plaza,Diamond,OH,44412,41.0935,-81.0425,2644,Air cabin crew,1981-01-06,5187e46c295713f43e297f276eec5005,1325456541,41.360462,-80.734886,0
2019-01-01 22:34:46,676195318214,fraud_Volkman-Predovic,shopping_net,6.59,Brandy,Quinn,F,9734 Beard Fields Suite 885,Altair,TX,77412,29.6047,-96.5249,106,"Editor, film/video",1983-07-24,5115376757ac48f60aba1dcaee246a5d,1325457286,30.536335,-97.113217,0
2019-01-01 22:49:47,4689147265057948423,fraud_Ziemann-Waters,health_fitness,1.8,Steven,Brooks,M,2622 Reynolds Isle,Manley,NE,68403,40.9207,-96.168,206,Human resources officer,1967-10-04,ea58d81943623103dba636a5e68c231f,1325458187,40.420497,-96.159977,0
